"Year","Area","Street","Street.2"
2011,"Birmingham","Oakhill Road Acocks Green",""
2011,"Birmingham","Opp White Hart Lane Cooks Lane",""
2011,"Birmingham","Opposite ALDI Stratford Road",""
2011,"Birmingham","Outside Java Lounge Alcester Road",""
2011,"Birmingham","Outside O Academy Night Club B Ham City Centre",""
2011,"Birmingham","Outside Raven Public House",""
2011,"Birmingham","Packington Avenue Shard End",""
2011,"Birmingham","Park Off Hob Moor Road",""
2011,"Birmingham","Parkhall Croft",""
2011,"Birmingham","Pear Tree PH",""
2011,"Birmingham","Police Station",""
2011,"Birmingham","Police Station Stechford",""
2011,"Birmingham","Poplar Road",""
2011,"Birmingham","Poplar Road",""
2011,"Birmingham","Poplar Road Solihull",""
2011,"Birmingham","Poplar Road Solihull",""
2011,"Birmingham","Preston Road",""
2011,"Birmingham","Priory Road Hall Green",""
2011,"Birmingham","Prospect Road",""
2011,"Birmingham","Queenswood Road",""
2011,"Birmingham","Rear Of Boots High Street",""
2011,"Birmingham","REDDINGS LANE TSYLEY",""
2011,"Birmingham","Richmond Primary Care Centre Richmond Road Stechford",""
2011,"Birmingham","Ring Road Stourbridge",""
2011,"Birmingham","Sainsburys Wawrick Road",""
2011,"Birmingham","Sainsburys Alcester Road South",""
2011,"Birmingham","Sandford Road Moseley",""
2011,"Birmingham","Sarehole Mill",""
2011,"Birmingham","Sedgemere Road",""
2011,"Birmingham","Shirley Road",""
2011,"Birmingham","SHirley Road",""
2011,"Birmingham","Snow Hill",""
2011,"Birmingham","Solihull Lane",""
2011,"Birmingham","St Mary S Road Moseley",""
2011,"Birmingham","St Marys Row",""
2011,"Birmingham","Station Road",""
2011,"Birmingham","Station Way Birmingham International Rail Station",""
2011,"Birmingham","Stechford Front Office",""
2011,"Birmingham","Stechford P S",""
2011,"Birmingham","Stechford Retail Park",""
2011,"Birmingham","Stonehenge Croft Druids Heath",""
2011,"Birmingham","Stoney Lane",""
2011,"Birmingham","Stoney Lane",""
2011,"Birmingham","Stoney Lane",""
2011,"Birmingham","STRATFORD HEATH SPARK HILL BIRMINGHAM",""
2011,"Birmingham","Stratford Road",""
2011,"Birmingham","Stratford Road",""
2011,"Birmingham","Stratford Road",""
2011,"Birmingham","Stratford Road Hall Green",""
2011,"Birmingham","Stratford Roads",""
2011,"Birmingham","Stuart Road Stechford",""
2011,"Birmingham","Talbort Street",""
2011,"Birmingham","Taunton Road",""
2011,"Birmingham","Tavistock Road",""
2011,"Birmingham","The Avenue",""
2011,"Birmingham","The Paer Tree Pub",""
2011,"Birmingham","Trafalger Road",""
2011,"Birmingham","Wake Green Road",""
2011,"Birmingham","Ward End Road",""
2011,"Birmingham","Warwick Road",""
2011,"Birmingham","Warwick Road",""
2011,"Birmingham","Warwick Road",""
2011,"Birmingham","Warwick Road",""
2011,"Birmingham","Warwick Road",""
2011,"Birmingham","Warwick Road Tysley",""
2011,"Birmingham","Wash Lane",""
2011,"Birmingham","Washford Heath Road",""
2011,"Birmingham","Washwood Heath Pub",""
2011,"Birmingham","WASHWOOD HEATH RD WASHWOOD HEATH BHAM",""
2011,"Birmingham","Washwood Heath Road",""
2011,"Birmingham","Washwood Heath Road",""
2011,"Birmingham","Washwood Heath Road",""
2011,"Birmingham","Washwood Heath Road",""
2011,"Birmingham","Watery Lane Middleway Birmingham",""
2011,"Birmingham","Wawrick Road",""
2011,"Birmingham","Welshfarm Road Quinton",""
2011,"Birmingham","Westley Road",""
2011,"Birmingham","Westley Road Acocks Green",""
2011,"Birmingham","White Hart Public House",""
2011,"Birmingham","White Hart Public House",""
2011,"Birmingham","Whiteheart Pub Gressell Lane",""
2011,"Birmingham","William Hill Bookmakers Washwood Heath Road",""
2011,"Birmingham","William Hill Bookmakers Washwood Heath Road",""
2011,"Birmingham","William Hill Washwood Heath Road",""
2011,"Birmingham","Windward Road",""
2011,"Birmingham","Windward Road",""
2011,"Birmingham","Wood End Road Erdington",""
2011,"Birmingham","Woodbridge Road Moseley",""
2011,"Birmingham","Wright Street",""
2011,"Birmingham","Yardley Green Road",""
2011,"Birmingham","Yardley Road Acocks Green",""
2011,"Birmingham","Yardley Wood Road",""
2011,"Birmingham","Yardley Wood Road",""
2011,"Birmingham","Yew Tree Car Park",""
2011,"Birmingham","Yew Tree Lane",""
2011,"Birmingham","Yew Tree Public House Car Park",""
2011,"Birmingham","Armada Pub Slade Road Erdington Birmingham",""
2011,"Birmingham","Armarda Pub Gravelly Hill",""
2011,"Birmingham","Armarda Pub Gravelly Hill",""
2011,"Birmingham","BADGERS BANK ROAD",""
2011,"Birmingham","Baldmoor Lake Road Erdington Birmingham",""
2011,"Birmingham","Bandywood Rd Kingstanding",""
2011,"Birmingham","Beckenham Road",""
2011,"Birmingham","Beeches Walk",""
2011,"Birmingham","BIRMINGHAM RD",""
2011,"Birmingham","BIRMINGHAM RD",""
2011,"Birmingham","Birmingham Rd SC",""
2011,"Birmingham","Birmingham Road",""
2011,"Birmingham","Birmingham Road",""
2011,"Birmingham","Birmingham Road Sutton",""
2011,"Birmingham","Birmingham Road Erdington",""
2011,"Birmingham","Birmingham Road Sutton Coldfield",""
2011,"Birmingham","Birmingham Road Sutton Coldfield",""
2011,"Birmingham","BOWLING GREEN CLOSE",""
2011,"Birmingham","Bracebridge Road Erdington",""
2011,"Birmingham","Brassington Avenue",""
2011,"Birmingham","Bromford Lane",""
2011,"Birmingham","Bromford Lane Erdington B Ham",""
2011,"Birmingham","Brookvale Park Road",""
2011,"Birmingham","Carhampton Road Falcon Lodge Sutton Colfield",""
2011,"Birmingham","Carshalton Road",""
2011,"Birmingham","Carshorlton Road",""
2011,"Birmingham","Chester Rd",""
2011,"Birmingham","CHESTER ROAD",""
2011,"Birmingham","Chester Road Halls Garden Centre",""
2011,"Birmingham","CHURCH RD AT CHESTER RD",""
2011,"Birmingham","College Road Kingstanding B Ham",""
2011,"Birmingham","College Road Kingstanding B Ham",""
2011,"Birmingham","Copshill Court Mount View Sutton Coldfield",""
2011,"Birmingham","Dovedale Road Erdington B Ham",""
2011,"Birmingham","Downside Road Erdington B Ham",""
2011,"Birmingham","Eachelhurt Road Erdington",""
2011,"Birmingham","ERDINGTON HALL ROAD",""
2011,"Birmingham","ERDINGTON HALL ROAD",""
2011,"Birmingham","Erdington High Street",""
2011,"Birmingham","Fentham Road Erdington B Ham",""
2011,"Birmingham","FINCHLEY ROAD",""
2011,"Birmingham","Finchley Road Kingstanding B Ham",""
